Cliente,Cidade,Categoria,Valor_R$,Entrega_dias,Cupom
,,Casa,1176.5,10.0,SIM
Hugo Costa,Osasco,Moda,,20.0,SIM
Fê Souza,São Paulo,Eletrônicos,435.96,24.0,NAO
Carla Pereira,Santo André,Mercado,1109.16,3.0,NAO
Hugo Ferreira,,Mercado,497.89,25.0,
Kai Pereira,São Paulo,,161.86,7.0,NAO
Hugo Rodrigues,Diadema,Mercado,143.38,3.0,SIM
Gabi Oliveira,São Paulo,Mercado,268.91,5.0,NAO
Iris Pereira,Guarulhos,Casa,871.82,21.0,SIM
Bruno Rodrigues,São Bernardo,Mercado,418.88,1.0,SIM
Diego Oliveira,Diadema,Eletrônicos,530.71,0.0,SIM
,Diadema,Casa,683.8,15.0,NAO
Bruno Rodrigues,São Paulo,Casa,716.11,20.0,
Lia Lima,,Casa,930.01,16.0,NAO
Hugo Almeida,São Paulo,Moda,,22.0,NAO
Gabi Costa,São Caetano,,474.45,18.0,
Kai Lima,Diadema,Mercado,1107.37,10.0,NAO
Bruno Oliveira,Guarulhos,Eletrônicos,842.68,,SIM
Iris Souza,,Moda,965.6,0.0,NAO
Fê Ferreira,São Caetano,Mercado,666.42,9.0,
Kai Souza,Santo André,Mercado,1081.49,18.0,SIM
Hugo Almeida,São Paulo,Mercado,1119.54,12.0,SIM
Gabi Santos,Guarulhos,Moda,636.63,10.0,SIM
Iris Santos,Osasco,Moda,754.54,15.0,
Kai Pereira,São Paulo,Moda,592.5,7.0,SIM
João Rodrigues,São Paulo,,474.58,23.0,
Edu Santos,Guarulhos,Casa,1104.24,5.0,SIM
Kai Rodrigues,São Caetano,Eletrônicos,1101.38,10.0,SIM
Carla Silva,São Bernardo,Mercado,1168.46,1.0,SIM
Diego Ferreira,São Paulo,,488.07,14.0,SIM
Diego Costa,São Paulo,,1112.53,10.0,NAO
Gabi Almeida,São Bernardo,Eletrônicos,1178.34,2.0,SIM
Iris Ferreira,,Mercado,906.26,17.0,SIM
Gabi Souza,Osasco,Eletrônicos,159.65,18.0,SIM
Carla Ferreira,São Bernardo,Mercado,185.83,21.0,NAO
,São Paulo,Casa,824.88,5.0,SIM
Edu Pereira,,Moda,721.86,3.0,NAO
Lia Oliveira,São Bernardo,Moda,264.18,13.0,NAO
Ana Ferreira,São Bernardo,Casa,878.71,17.0,NAO
Gabi Silva,São Paulo,Mercado,270.78,4.0,NAO
João Oliveira,Osasco,Moda,913.88,11.0,SIM
Kai Ferreira,São Bernardo,Casa,268.36,1.0,NAO
Lia Ferreira,Diadema,Mercado,657.67,20.0,NAO
Hugo Lima,Osasco,Moda,38.96,2.0,
Diego Lima,São Paulo,Moda,538.5,25.0,NAO
João Oliveira,,Casa,845.01,2.0,NAO
Diego Pereira,São Paulo,Eletrônicos,519.35,13.0,NAO
