Motorista,Dist_km,Preco_R$,Atraso_min,Regiao,Pagamento
Edu Souza,25.0,116.49,34.0,Zona Oeste,Dinheiro
Kai Lima,23.5,130.76,6.0,Centro,Cartão
Ana Oliveira,18.1,65.72,4.0,Zona Sul,Pix
Iris Rodrigues,22.0,50.6,30.0,Zona Leste,Dinheiro
,1.6,102.82,14.0,Centro,Dinheiro
João Souza,23.5,44.15,11.0,Zona Norte,Pix
Kai Lima,31.8,61.79,25.0,Zona Norte,Pix
Edu Ferreira,3.6,,11.0,Centro,Dinheiro
Kai Silva,6.6,77.0,36.0,Centro,
,29.2,31.51,5.0,,Dinheiro
Ana Ferreira,30.2,111.77,31.0,Zona Norte,Cartão
Gabi Ferreira,16.2,155.07,22.0,Centro,Pix
Iris Santos,1.1,,26.0,Centro,
Gabi Oliveira,15.0,107.92,22.0,,
Ana Oliveira,15.5,142.72,31.0,Zona Oeste,Pix
,20.5,29.46,39.0,Zona Oeste,Pix
Kai Pereira,32.6,,1.0,Zona Oeste,Dinheiro
Ana Almeida,28.8,45.97,28.0,Zona Leste,Cartão
Edu Rodrigues,19.6,102.64,12.0,Zona Norte,Cartão
Lia Oliveira,30.4,13.41,16.0,Zona Norte,
Bruno Pereira,1.7,81.58,29.0,Zona Sul,Dinheiro
Carla Lima,32.4,148.84,35.0,Zona Norte,Dinheiro
Bruno Costa,25.1,134.82,27.0,Zona Norte,Dinheiro
Carla Santos,16.1,27.19,26.0,Zona Oeste,Dinheiro
Ana Almeida,10.3,156.36,9.0,Centro,Dinheiro
Ana Ferreira,,,26.0,Zona Sul,Dinheiro
Fê Lima,8.7,52.11,24.0,Zona Sul,Pix
Gabi Pereira,,113.1,22.0,Centro,Pix
Diego Ferreira,5.4,75.55,9.0,,Dinheiro
Edu Santos,19.7,22.82,,Zona Sul,Pix
Fê Lima,1.7,,29.0,Zona Sul,Pix
Hugo Oliveira,24.8,77.45,5.0,Centro,Dinheiro
Carla Oliveira,23.5,37.07,3.0,Zona Sul,Pix
Gabi Rodrigues,34.0,67.4,,Zona Sul,Dinheiro
Diego Oliveira,9.2,122.53,40.0,Centro,Dinheiro
Diego Souza,11.5,70.96,4.0,Zona Norte,Pix
João Silva,32.7,150.3,13.0,Zona Norte,Dinheiro
Iris Costa,21.4,9.96,5.0,Zona Oeste,Cartão
Gabi Oliveira,13.8,116.08,11.0,Zona Oeste,Dinheiro
Ana Oliveira,34.6,15.07,14.0,Zona Norte,Dinheiro
Iris Rodrigues,13.7,144.82,27.0,Zona Leste,Pix
Carla Lima,27.8,15.66,0.0,Zona Oeste,Pix
Ana Costa,32.3,96.67,36.0,Centro,Cartão
Iris Almeida,33.9,105.88,14.0,Zona Norte,Dinheiro
Gabi Almeida,29.4,61.52,10.0,Centro,Cartão
Ana Pereira,2.6,19.51,,Centro,Pix
Gabi Silva,14.6,79.45,,Centro,Cartão
Bruno Lima,18.5,36.72,13.0,Zona Leste,Pix
Bruno Rodrigues,12.1,106.06,36.0,Centro,Pix
Ana Souza,24.0,66.07,32.0,,Cartão
João Santos,1.8,52.94,2.0,Zona Norte,Pix
Bruno Almeida,1.5,100.84,18.0,Centro,Pix
Bruno Souza,5.3,35.45,39.0,Zona Leste,Pix
Gabi Santos,30.8,36.38,36.0,Zona Norte,Pix
Edu Almeida,28.5,16.36,4.0,Zona Leste,Dinheiro
Bruno Almeida,21.8,141.02,29.0,Centro,
Lia Oliveira,20.8,98.79,25.0,Zona Oeste,Pix
Edu Souza,33.2,38.13,21.0,Zona Oeste,Dinheiro
Fê Souza,1.8,28.14,7.0,Zona Leste,Pix
Edu Silva,7.1,,0.0,Zona Oeste,Pix
Kai Ferreira,12.2,96.4,27.0,Zona Sul,Pix
Bruno Lima,29.6,22.43,10.0,Zona Norte,Cartão
Diego Souza,16.0,16.74,0.0,Zona Sul,Cartão
Hugo Almeida,27.0,118.24,28.0,Zona Leste,Dinheiro
Fê Almeida,8.0,57.81,,,Dinheiro
Lia Souza,23.9,34.18,15.0,Centro,Pix
Edu Ferreira,15.6,,18.0,Centro,Dinheiro
Hugo Oliveira,16.1,41.71,18.0,Centro,Dinheiro
Lia Pereira,23.0,118.04,36.0,Zona Norte,Dinheiro
,21.3,61.12,26.0,Zona Oeste,Dinheiro
Iris Almeida,17.5,66.49,8.0,Zona Sul,Cartão
Hugo Oliveira,3.0,12.1,0.0,Zona Norte,Cartão
Bruno Silva,2.6,15.35,34.0,Zona Leste,Pix
Hugo Oliveira,17.5,7.56,,,Dinheiro
Ana Silva,28.0,50.41,29.0,Zona Sul,Dinheiro
Carla Costa,9.5,135.69,6.0,Zona Norte,Dinheiro
,27.5,51.75,25.0,,Pix
Lia Lima,9.7,10.81,37.0,Zona Sul,Cartão
Edu Pereira,12.8,86.18,4.0,Zona Oeste,Cartão
Kai Oliveira,8.3,,9.0,Zona Sul,Cartão
Carla Almeida,11.6,93.7,24.0,Zona Oeste,Pix
Fê Almeida,28.2,87.79,28.0,Zona Sul,Cartão
Iris Costa,1.4,66.54,,Zona Sul,
João Souza,1.7,48.14,16.0,Zona Sul,Cartão
João Costa,6.1,143.28,5.0,Zona Norte,Pix
João Costa,25.5,116.36,32.0,Centro,Dinheiro
,14.0,71.8,4.0,Zona Oeste,Cartão
Bruno Silva,15.4,104.29,37.0,Zona Oeste,Dinheiro
Lia Silva,19.0,127.24,26.0,,Dinheiro
Ana Ferreira,28.0,158.51,30.0,Zona Leste,Pix
Ana Ferreira,7.6,,38.0,Centro,Pix
Ana Rodrigues,25.8,64.34,38.0,Zona Sul,Pix
Lia Pereira,,138.3,29.0,Zona Oeste,Pix
Bruno Lima,23.1,115.31,12.0,Centro,Pix
João Oliveira,,148.34,30.0,Zona Oeste,Pix
Edu Santos,29.3,,21.0,Zona Norte,Cartão
