Motorista,Dist_km,Preco_R$,Atraso_min,Regiao,Pagamento
Kai Souza,14.5,107.95,26.0,Zona Norte,Pix
Diego Lima,13.7,14.7,28.0,Zona Oeste,Dinheiro
Carla Pereira,2.9,62.74,18.0,Zona Oeste,Pix
,17.3,53.56,38.0,Zona Oeste,
Bruno Santos,7.2,131.07,35.0,Centro,Cartão
Lia Souza,19.3,50.28,8.0,Zona Leste,Dinheiro
Iris Santos,34.0,36.87,17.0,Centro,Cartão
Lia Silva,8.6,154.42,38.0,Zona Oeste,Cartão
Fê Ferreira,10.5,118.28,16.0,Zona Sul,Dinheiro
Bruno Souza,16.6,61.54,25.0,Centro,Cartão
Edu Ferreira,33.7,63.29,26.0,Zona Oeste,Cartão
Kai Ferreira,26.7,48.23,,Zona Sul,Pix
Carla Ferreira,5.0,100.11,,Zona Sul,Cartão
Gabi Pereira,24.7,138.76,24.0,Zona Oeste,Pix
João Pereira,13.2,121.28,28.0,Centro,Dinheiro
,22.0,123.24,27.0,Zona Sul,Pix
Carla Lima,19.3,92.68,26.0,Zona Sul,Dinheiro
,11.2,30.69,,Zona Sul,Dinheiro
,2.4,7.15,30.0,Zona Leste,Cartão
Gabi Silva,3.8,,20.0,Zona Oeste,Cartão
,29.3,22.82,18.0,Zona Oeste,Pix
Ana Rodrigues,25.3,140.58,13.0,Centro,Dinheiro
Edu Almeida,11.5,26.86,12.0,,Pix
Bruno Lima,9.5,131.11,32.0,Zona Leste,Pix
,6.9,112.76,12.0,Zona Norte,Pix
Iris Rodrigues,27.6,69.44,25.0,Zona Norte,Cartão
Edu Santos,14.1,23.81,34.0,Zona Sul,Dinheiro
Carla Almeida,27.0,141.72,16.0,Zona Sul,Cartão
Carla Lima,30.9,85.16,20.0,Zona Leste,Dinheiro
Edu Oliveira,,55.14,13.0,Zona Oeste,Cartão
Diego Souza,27.0,23.3,19.0,Zona Sul,Pix
Carla Pereira,2.6,14.32,37.0,Zona Leste,Dinheiro
Carla Souza,6.7,147.68,24.0,Zona Norte,Cartão
Iris Ferreira,6.3,44.34,13.0,Zona Sul,Dinheiro
Hugo Ferreira,20.2,84.67,31.0,Zona Oeste,Dinheiro
João Oliveira,5.7,115.4,9.0,,Cartão
Hugo Silva,33.2,72.52,14.0,Zona Norte,Cartão
Edu Costa,29.9,158.49,,Zona Sul,Pix
Ana Oliveira,27.4,121.75,14.0,Zona Oeste,Pix
Carla Oliveira,4.2,68.51,23.0,Zona Leste,Dinheiro
Kai Rodrigues,34.2,,16.0,Centro,Cartão
Iris Lima,29.8,107.32,13.0,,Dinheiro
João Souza,20.7,107.81,38.0,Zona Sul,Cartão
Diego Costa,7.0,68.99,31.0,Centro,Cartão
